건축물명,건축물 위치,층수(지상_지하),조사년도,총발생량(톤),일평균발생량(톤/일),미사용_하수도방류(톤/일)
디밸리오피스텔,범안로21길 8(독산동 292-11),15/3,2023,8.1,0.04,0.04
㈜엘지유플러스,월드컵북로 416 (상암동),14/6,2023,9918.8,54.8,54.8
새한빌딩,굴레방로 13 (아현동) ,5/2,2023,1791.9,9.9,9.9
KCC엠파이어리버,양화로 26 (합정동),25/8,2023,9665.4,53.4,43.4
농협하나로마트,신촌로 66 (노고산동),12/5,2023,4181.1,23.1,23.1
우리금융상암센타,월드컵북로60길 17 (상암동),13/5,2023,23747.2,131.2,131.2
중소기업중앙회,성암로 189 (상암동),20/6,2023,38462.5,212.5,212.5
교통안전공단상암자동차검사소,구룡길 15 (상암동),3/2,2023,343.9,1.9,1.9
디엠씨씨 프로젝트 금융투자 주식회사,상암산로 48-6 (상암동),21/6,2023,778.3,4.3,4.3
공덕푸르지오시티오피스텔,마포대로 156 (공덕동),20/5,2023,2968.4,16.4,16.4
상암두산위브센티움,월드컵로36길 14 (성산동) ,15/5,2023,8289.8,45.8,45.8
YTN 미디어센터,상암산로 76 (상암동),18/6,2023,4036.3,22.3,22.3
LIG합정빌딩,양화로 19 (합정동),24/8,2023,4724.1,26.1,26.1
아만티 호텔,서교동 447-1,15/5,2023,10063.6,55.6,55.6
홍익대학교 제2기숙사,와우산로 94,24/2,2023,7620.1,42.1,42.1
상암푸르지오 오피스텔 신축공사,상암동 1596,16.18/8,2023,3420.9,18.9,18.9
마포세무서 신축공사,독막로 234(신수동)지하4층,7/4,2023,6045.4,33.4,33.4
상암미르웰한울림오피스텔,모래내로3길 11(성산동)지하5층,15/5,2023,1538.5,8.5,8.5
동우자인채스토리 상암 신축공사,월드컵로34길 20(성산동)지하5층,15/5,2023,199.1,1.1,1.1
강변한신코아,마포대로4다길 18,18/2,2023,2715.0,15.0,15.0
삼성SDS,월드컵북로60길 24 (상암동),13/8,2023,80038.2,442.2,442.2
DDMC,매봉산로 75,19/6,2023,90.5,0.5,0.5
상암디지털큐브,상암산로 34,23/7,2023,2877.9,15.9,5.9
MBC문화방송,성암로 267,3/14,2023,2371.1,13.1,13.1
가산 더스카이밸리 1차,가산디지털1로 142(가산동 371-57),14/4,2023,3154.31,17.14,17.14
에이스골드타워,가산디지털1로 100(가산동 345-2),18/4,2023,969.68,5.27,5.27
하우스디 가산퍼스타,가산동 459-24,12/4,2023,5293.13,28.77,28.77
현대지식산업센터,가산디지털로 178(가산동 60-26),27/5,2023,252.08,1.37,1.37
전경련 회관,여의대로 24,50/6,2023,44160.0,240.0,240.0
당산센트럴아이파크,영신로 247(당산동5가 4-13),29/2,2023,184.0,1.0,1.0
당산역해링턴타워,당산동5가 9-3,20/4,2023,6808.0,37.0,37.0
더하우스소호여의도오피스텔,의사당대로 26,13/5,2023,16560.0,90.0,90.0
신한 드림리버오피스텔,여의도동 12-3,16/7,2023,28152.0,153.0,153.0
롯데마트 양평점,선유로 138(양평동3가 45),8/3,2023,3312.0,18.0,18.0
리마크빌영등포,영중로 119,18/4,2023,14646.4,79.6,79.6
문래SKV1센터,문래동6가 19,18/4,2023,103958.98,564.99,564.99
KB국민은행 신관,의사당대로 141(여의도동 45),25/6,2023,11224.0,61.0,61.0
삼성화재영등포 사옥,양평로 76(양평동4가 156-1),12/3,2023,22264.0,121.0,121.0
대성빌딩,당산로 28길 5,3/2,2023,1104.0,6.0,6.0
코오롱디지털 타워,양평로22길 21(양평동5가 106-1),14/5,2023,12985.72,70.57,70.57
세종앤까뮤스퀘어,양평로30길 14(양평동6가 4-2),12/5,2023,29873.06,162.35,162.35
한국보이스카우트연맹회관,국회대로62길 14(여의도동 18-3),10/4,2023,54280.0,295.0,295.0
두드림빌딩,월드컵로13길 34,6/1,2023,1339.4,7.4,7.4
상암도시엔,월드컵로34길 8,12/4,2023,10063.6,55.6,55.6
창비서교빌딩,서교동 475-34,3/7,2023,398.2,2.2,2.2
sk리더스뷰아파트,백범로31길 7,29/5,2023,5592.9,30.9,30.9
마포웨스트리버 태영데시앙,창전동 449,21/3,2023,144.8,0.8,0.8
신촌숲아이파크,신수동 93-102,35/3,2023,10570.4,58.4,58.4
메트로디오빌,백범로 199 (신공덕동),30/8,2023,4506.9,24.9,24.9
아현변전소,아현동 275-5,3/1,2023,11384.9,62.9,62.9
아일렉스홍대,동교동 160-4,11/6,2023,597.3,3.3,3.3
이랜드PEER,서강로 75-16,16/5,2023,6262.6,34.6,34.6
마포프레스티지자이아파트,염리동 507,27/5,2023,13593.1,75.1,75.1
소금나루도서관,숭문길 72,3/3,2023,8760.4,48.4,48.4
누디트 홍대,서교동 460-25,7/3,2023,4253.5,23.5,23.5
파크팰리스2(오피스텔),마포대로 143,21/4,2023,2642.6,14.6,14.6
에스제이에이뮤직,와우산로25길 6,5/4,2023,18.1,0.1,0.1
사보이시티디엠씨,월드컵북로54길 17,16/4,2023,343.9,1.9,1.9
신세계건설(빌리브디에이블 공사현장),노고산동 107-46,/,2023,1810.0,10.0,10.0
주식회사타디그레이드홀딩스(LC타워),동교동 167-13,10/7,2023,1943.0,10.73,10.73
디디아이에스씨(에피소드신촌369),노고산동 57-50,20/5,2023,101.99,0.56,0.56
(주)반도건설(신촌2에피소드 신축공사현장),노고산동 49-29,/,2023,3918.0,21.65,21.65
공덕자이아파트,아현동 799,/,2023,5504.99,30.41,30.41
마포더클래시,신촌로28길 50,/,2023,1274.0,7.04,7.04
하이페리온2,"오목로 300, (목동)",41층/4층,2023,8724.2,48.2,48.2
현대41타워,"목동동로 293, (목동)",40층/7층,2023,6335.0,35.0,35.0
삼성쉐르빌1,"목동동로 189, (신정동)",39층/5층,2023,46643.7,257.7,257.7
㈜SBS,"목동서로 161, (목동)",22층/4층,2023,12090.8,66.8,66.8
현대월드타워,"목동서로 77, (목동)",24층/6층,2023,19439.4,107.4,107.4
부영그린타운3,"목동동로 411, (목동)",24층/7층,2023,8289.8,45.8,45.8
목동트라팰리스,"오목로 299, (목동)",49층/5층,2023,3440.81,19.01,19.01
목동트윈빌,"목동동로 339, (목동)",31층/5층,2023,7602.0,42.0,42.0
행복한세상,"목동동로 309, (목동)",17층/5층,2023,1755.7,9.7,9.7
삼성쉐르빌2,"목동동로 177, (신정동)",24층/5층,2023,4307.8,23.8,23.8
남부빌딩관리단,"신월로 389, (신정동)",9층/6층,2023,20597.8,113.8,101.8
향도드림네스트,"목동동로 437, (목동)",15층/3층,2023,5122.3,28.3,28.3
이촌레미안첼리투스,이촌동 303-3외,38~56/3,2023,7396.75,40.87,40.87
엘지유플러스 용산사옥,한강대로32,21/9,2023,95892.17,529.79,469.79
삼일교회,원효로 89길 18-21,8/4,2023,311.32,1.72,1.72
세계평화통일가정연합,청파로 319,9/4,2023,2215.62,12.24,12.24
용산푸르지오써밋,한강로2가 391번지 일대,39/9,2023,31760.61,175.47,175.47
용산역 전면3구역(삼성물산)(래미안용산),한강로2가 335번지 일대,40/9,2023,18511.78,102.28,102.28
서부티엔디,청파로20길 83외,36~39/4,2023,92974.63,513.67,513.67
더 뮤지엄 한국증권금융,한남동 51-13,5/6,2023,245.26,1.36,1.36
한성인베스트먼트(용산포르쉐타워),이촌로12,6/4,2023,6555.46,36.22,36.22
신길교회,영등포로67가길 9(신길동 63-3),7/6,2023,920.0,5.0,5.0
신길센트럴아이파크APT ,가마산로 426,28/2,2023,31920.44,173.48,173.48
에이스하이테크2차,문래동6가 24-1,14/4,2023,16574.23,90.08,90.08
여의도리슈빌,영등포동1가 121-5,12/5,2023,6256.0,34.0,34.0
여의도에스트레뉴빌딩,국제금융로2길 37(여의도동 26-1),36/7,2023,1288.0,7.0,7.0
구로세무서,경인로 778,4/1,2023,368.0,2.0,2.0
양평1동 펌프장,선유로35길 22(양평동3가 57),3/3,2023,10856.0,59.0,59.0
신풍프라자,가마산로48길 16(대림동 673),4/3,2023,368.0,2.0,2.0
브라이튼 여의도,국제금융로 39,49/6,2023,2024.0,11.0,11.0
SK증권빌딩,여의도동 45-1,15/5,2023,1472.0,8.0,8.0
트리플렉스,문래북로 116,15/4,2023,58752.93,319.31,319.31
파크원,여의대로 108,69/7,2023,21114.25,114.75,114.75
하우스.D.비즈,문래동5가 10,14/3,2023,184.0,1.0,1.0
한국교직원공제회관,여의나루로 50,27/5,2023,7971.98,43.33,43.33
나라키움여의도빌딩,여의대방로 376,23/6,2023,26312.0,143.0,143.0
메트하임,신풍로 93(신길동 2363),12/5,2023,736.0,4.0,4.0
성남빌딩,영중로8길 6(영등포동3가 8-1),7/3,2023,5704.0,31.0,31.0
아이에프씨몰,"국제금융로 10(여의도동 23-1 ,서울 국제금융 센터 )",55/7,2023,25024.0,136.0,136.0
교보생명빌딩,영등포로 96(당산동2가 21-26),7/5,2023,17296.0,94.0,94.0
타임스퀘어,영중로 15(영등포동4가 442),20/5,2023,368.0,2.0,2.0
나이스1사옥,은행로 17(여의도동 14-33),12/5,2023,16901.57,91.86,91.86
한림대학교 강남성심병원,시흥대로 665(대림동 964-10),/,2023,42246.4,229.6,229.6
국회의원회관,"의사당대로 1(여의도동 1 ,국회의원회관(신관) )",/,2023,70324.8,382.2,382.2
세미콜론문래,문래로28길 25(문래동3가 55-18),/,2023,8353.6,45.4,45.4
㈜노량진수산,노들로 688,6/2,2023,45385.0,246.66,46.66
숭실대학교(정보과학관),사당로 50,6/2,2023,2070.0,11.25,11.25
박성용,상도로47길 4,6/2,2023,258.0,1.4,1.4
상도동 동원베네스트,상도동 528,13/2,2023,3456.0,18.78,18.78
상도두산위브1차,상도로30길 39,18/2,2023,1554.0,8.45,8.45
흑석 해가든,서달로 150,20/5,2023,2484.0,13.5,13.5
중앙대학교,흑석로6길 61,15/6,2023,19956.0,108.46,108.46
중앙대학교 병원,흑석로 102,15/3,2023,399.0,2.17,2.17
골드시네마타워,동작대로 89,15/7,2023,15552.0,84.52,84.52
삼성생명,동작대로 35,10/3,2023,79285.6,430.9,430.9
교보생명,동작대로 59,10/7,2023,7152.0,38.87,38.87
이수자이,사당로 300,24/7,2023,3798.0,20.64,20.64
동작 상떼빌,신대방동 719,28/4,2023,24192.0,131.48,45.08
㈜메이트플러스,보라매로5길 35,25/7,2023,990.0,5.38,5.38
사운즈빌딩,대사관로 35,3/3,2023,4833.61,26.71,26.71
용산KCC스위첸입주자대표회의,백범로 275,10~18/3,2023,1482.57,8.19,8.19
삼성보라매옴니타워,보라매로5길 23,29/7,2023,1728.0,9.39,0.0
보라매나산스위트(아스타IBS),보라매로5가길 24,37/9,2023,3078.0,16.73,16.73
농심신대방사옥,여의대방로 112,20/3,2023,2010.0,10.92,10.92
상도두산위브트레지움2차,상도로30길 40,/,2023,18092.0,98.33,98.33
효성해링턴플레이스아파트,상도로 207,20/2,2023,1312.0,7.13,7.13
중앙대학교 310관,흑석로 84,12/6,2023,8163.0,44.36,44.36
이수힐스테이트 아파트,동작대로39길 22,15/3,2023,4532.0,24.63,24.63
어바니엘 한강,노량진로 190,19/3,2023,6692.0,36.37,36.37
상도파크자이,장승배기로11가길 11,25/2,2023,3557.0,19.33,19.33
동부흑석센트레빌,흑석한강로 12,20/3,2023,1944.0,10.57,10.57
흑석 롯데캐슬 에듀포레,서달로 123,23/4,2023,8695.0,47.26,47.26
래미안로이파크,사당동 167-19,25/4,2023,25908.0,140.8,140.8
흑석동 원불교회관,현충로 75,10/4,2023,9639.0,52.39,52.39
신라스테이해링턴오피스텔,시흥대로 596,9/4,2023,1918.0,10.42,10.42
준타워,퇴계로 385,12/5,2023,385.53,2.13,2.13
북서울시립미술관,동일로 1238(중계2.3동 508),3/3,2023,1440.0,7.96,7.96
KT노원지사,"노해로 502(상계6,7동 723)",13/5,2023,10800.0,59.67,59.67
현대엠코,동일로 986(공릉1동 670-20),36/5,2023,375.0,2.07,2.07
육군사관학교2,화랑로 574(공릉2동 230-30),4/2,2023,1629.0,9.0,9.0
중계센트럴파크,"덕릉로115다길 40 (상계3,4동 1323)",17/2,2023,1026.0,5.67,5.67
연세방병원,동일로 989 (공릉1동 680-10),15/2,2023,1031.7,5.7,5.7
신라스테이,시흥대로 596,19/4,2023,77891.0,423.32,423.32
힐스테이트상도프레스티지,상도로 346-2(상도동 533),19/5,2023,2160.0,11.74,11.74
사당솔밭도서관,솔밭로 86,/,2023,1356.0,7.37,7.37
사당 롯데캐슬 골든포레,사당로 90,/,2023,8772.0,47.67,47.67
흑석한강푸르지오APT,흑석한강로 27,/,2023,726.0,3.95,3.95
더블유하우징,동작대로 29길 36(사당동),/,2023,167.0,0.91,0.91
삼호개발(주),여의대방로20길 33(신대방동 395),/,2023,29.0,0.16,0.16
디오슈페리움(1단지),관악로164(봉천동 856-5),19/2,2023,1067.2,5.8,5.8
서울대 교수아파트,관악로1(대학동),5/2,2023,478.4,2.6,2.6
삼성전자㈜서울대연구소,봉천동 산4-1,2/10,2023,1232.8,6.7,6.7
마에스트로 생활문화지원실,남부순환로218길 1(봉천동 869-6),20/2,2023,2152.8,11.7,11.7
에그옐로우,남부순환로1820(봉천동 862-18),16/2,2023,3735.2,20.3,20.3
쌩모리츠타운,쑥고개로100(봉천동 1574-1),11/2,2023,23588.8,128.2,103.2
관악구청 ,관악로145(봉천동 1570-1),9/2,2023,8372.0,45.5,21.5
아이피비엠씨(주),남부순환로218길 37(봉천동 867-12),15/2,2023,349.6,1.9,1.9
마에스트로 캠퍼스타운,남부순환로1773(봉천동 893-12),15/2,2023,717.6,3.9,3.9
타워빌딩,남부순환로1817(봉천동 861-6),20/2,2023,1435.2,7.8,7.8
양지병원,남부순환로1640(신림동 10-207),7/2,2023,1803.2,9.8,9.8
르네상스쇼핑몰,신림로340(신림동1422-5),15/2,2023,1803.2,9.8,9.8
관악 농산물 백화점,남부순환로1369(신림동),6/2,2023,8022.4,43.6,43.6
광안빌딩,시흥대로578(신림동 1643),7/2,2023,5961.6,32.4,0.0
힐스테이트 뉴포레아파트,조원로25(신림동),35/3,2023,0.99,0.01,0.01
우화빌딩,동일로190길 65 (공릉1동392-21),9/3,2023,857.99,4.74,4.74
서울과학관,한글비석로 160(하계1동 산11),3/1,2023,868.8,4.8,4.8
방사선융합연구센터,노원로 75 원자력의학원(공릉2동 215-4),6/3,2023,5.21,0.03,0.03
꿈의숲 SK뷰 아파트,월계로42길 97 (월계1동 531),20/2,2023,1943.99,10.74,10.74
광운학술정보관,광운로 20 광운대학교(월계1동 447-1),4/3,2023,512.99,2.83,2.83
월계문화체육센터,월계로 296-17(월계1동 569-1),5/1,2023,1859.0,10.27,10.27
상계역센트럴푸르지오아파트,수락산로 4길 17,16~28/3,2023,6252.99,34.55,34.55
일성트루엘,신림로23길 16(신림동 1523),11/2,2023,18.4,0.1,0.1
서울대학교(관정도서관),관악로1(대학동),7/2,2023,92.0,0.5,0.5
한라타운아파트,난곡로47길 9(신림동763) ),15/2,2023,864.8,4.7,4.7
남현제1공영주차장,관악구 남현동1063-1,/3,2023,2281.6,12.4,12.4
(유)아이원산업개발,신림동1433-6,20/7,2023,184.0,1.0,1.0
요진건설㈜,"관악구 신림동240-1,3,4, 1521-1,2",16/4,2023,276.0,1.5,1.5
최강타워,남부순환로180길 6,22/6,2023,1306.4,7.1,7.1
하림인터내셔날 오피스텔,서초대로 316(서초동 1674-5),15/3,2023,3696.56,20.09,20.09
GS건설 서초타워(JW타워),남부순환로 2477(서초동 1424-2),14/5,2023,13800.0,75.0,75.0
래미안서초유니빌,서초중앙로 26(서초동 1445-4),24/5,2023,4171.28,22.67,22.67
삼성금융캠퍼스,사임당로23길 27(서초동),5/5,2023,6027.84,32.76,32.76
서초롯데캐슬메디치,서초중앙로 110(서초동 1656-4),33/6,2023,1484.88,8.07,8.07
The Asset,"서초대로74길 14, B동 (서초동 1321-20)",32/7,2023,3323.04,18.06,18.06
삼성전자빌딩,"서초대로74길 11, C동 (서초동 1320-10)",44/8,2023,4772.96,25.94,0.04
효성해링턴타워,"강남대로51길 10, (지하)7층 (서초동 1337-6)",16/7,2023,1085.6,5.9,5.9
코리아비즈니스센터,강남대로 309(서초동 1338-21),20/6,2023,1085.6,5.9,5.9
에이플러스에셋타워,강남대로 369(서초동 1328-3),22/7,2023,2182.24,11.86,11.86
삼성생명보험,서초대로74길 4(서초동 1321-15),34/7,2023,1810.56,9.84,9.84
솔라티움씨티 강남,강남대로53길 12(서초동 1327-34),12/6,2023,9325.12,50.68,50.68
르피에드in강남,서운로 136(서초동 1321-7),19/5,2023,301.76,1.64,1.64
(주)KH바텍 사옥,반포대로 18(서초동 1451-51),8/4,2023,1795.84,9.76,9.76
서초프라자,서초대로 286(서초동 1573-1),11/4,2023,1494.08,8.12,8.12
국제방송,남부순환로 2351(서초동 1467-80),14/6,2023,1085.6,5.9,5.9
LG서초에클라트,반포대로14길 71(서초동 1599-2),22/6,2023,616.4,3.35,3.35
이스트빌딩,반포대로 3(서초동 1464-30),10/5,2023,1483.04,8.06,8.06
에이스빌딩(한국장학재단),서초대로41길 19(서초동 1720-2),5/4,2023,1376.32,7.48,7.48
한국벤처투자,서초대로45길 16(서초동 1706-5),5/4,2023,789.36,4.29,4.29
주얼리시티㈜,종로 183(인의동) ,19/5,2023,8099.68,44.02,44.02
서초오퓨런스빌딩,서초대로 254(서초동 1553-5),18/8,2023,8662.72,47.08,47.08
웅진타워,반포대로30길 81(서초동) ,16/8,2023,21542.72,117.08,117.08
나비타워(김영*),서초대로58길 5(서초동 1676-2),11/2,2023,358.8,1.95,1.95
사랑의교회,반포대로 121(서초동 1541-15),14/7,2023,2112.32,11.48,11.48
서초어반하이오피스텔,서초중앙로5길 12(서초동 1601-10),20/5,2023,406.64,2.21,2.21
서초센트럴IPARK,반포대로18길 36(서초동 1582-3,33/6,2023,8760.24,47.61,47.61
동익성봉빌딩,서초대로 301(서초동 1692-1),19/7,2023,19463.52,105.78,105.78
강남오피스텔,서초대로73길 40(서초동 1308-25),15/5,2023,2208.0,12.0,12.0
교보리얼코(교보생명보험㈜),강남대로 465(서초동 1303-22),25/8,2023,1472.0,8.0,0.0
서초아르누보씨티,서초대로 357(서초동 1680-1),19/8,2023,4526.4,24.6,24.6
휴먼타워,강남대로 605(잠원동 20-9),14/5,2023,715.76,3.89,3.89
페이토,강남대로 563(잠원동 37-1),15/6,2023,5188.8,28.2,28.2
래미안 신반포 리오센트,잠원로14길 32(잠원동 161),32/3,2023,434.24,2.36,2.36
엘루체 백화점,신반포로 23(반포동 1141),5/4,2023,1939.36,10.54,10.54
고도일 병원,강남대로 505(반포동 736-9),9/4,2023,2093.92,11.38,11.38
성운빌딩,사평대로57길 51(반포동 735-26),4/4,2023,8438.24,45.86,45.86
디에이치반포라클라스아파트,서초중앙로 206(반포동 1343),35/3,2023,21513.28,116.92,116.92
신반포자이아파트,잠원로 60(잠원동 160),28/3,2023,255.76,1.39,1.39
아크로리버뷰신반포,잠원로 117(잠원동 159),35/3,2023,11678.48,63.47,63.47
서울성모병원,반포대로 222(반포동 505),22/6,2023,2171.2,11.8,11.8
엘루크방배서리풀,효령로31길 31(방배동 911-22),13/3,2023,184.0,1.0,1.0
롯데캐슬아르떼,방배천로18길 11(방배동 424-28),17/0,2023,542.8,2.95,2.95
우신운수,과천대로 796(방배동 2922),2/1,2023,428.72,2.33,2.33
방주교회,"방배천로24길 8(방배동 425-2 ,방주교회 )",4/3,2023,4697.52,25.53,25.53
CJ방배사옥(CJ건설),남부순환로 2271(방배동 ),6/4,2023,1954.08,10.62,10.62
백석총회유지재단,남부순환로 2221(방배동 490-1),7/4,2023,868.48,4.72,4.72
백석대학교 백석비전센터,방배동 981-17,13/3,2023,3523.6,19.15,19.15
백석대학교 백석빌딩(기숙사),방배동 1023-1,7/3,2023,12464.16,67.74,67.74
방배디오빌,서초대로 17(방배동 866-20),22/4,2023,9435.52,51.28,51.28
(주)삼천리이엔지,동광로 78(방배동 810-2),5/2,2023,3475.76,18.89,18.89
블랙야크,바우뫼로 201(양재동 5-6),8/4,2023,13176.24,71.61,71.61
삼성전자 서울R&D캠퍼스,"성촌길 33(우면동 689 ,삼성전자연구소 )",4/2,2023,29820.88,162.07,162.07
삼정스포타임(이강*),강남대로 213(양재동 24-2),6/4,2023,17391.68,94.52,94.52
SPC1945,남부순환로 2620(양재동 11-149),20/6,2023,12880.0,70.0,70.0
서초리슈빌S글로벌,양재대로2길 8(우면동 787),10/3,2023,340.4,1.85,1.85
우면종합상가(우면사우나 등),바우뫼로7길 8,9/5,2023,1284.32,6.98,6.98
동원산업빌딩,마방로 68(양재동 275),20/7,2023,35889.2,195.05,195.05
LG전자 서초 R&D캠퍼스,양재대로11길 19(양재동 221),25/5,2023,13844.16,75.24,72.34
금융결제원생활관,강남대로18길 15-16(양재동 243),5/2,2023,971.52,5.28,5.28
(주)대흥교통,양재대로 116-1(염곡동 300-2),2/1,2023,5759.2,31.3,31.3
한국소비자원(송암빌딩),양재대로 246(염곡동 300-4),13/3,2023,675.28,3.67,3.67
KOTRA,헌릉로 13(염곡동 300-9),12/4,2023,4861.28,26.42,26.42
서초그랑자이,효령로 391(서초동 1757),35/3,2023,15969.36,86.79,86.79
"마제스타시티, 힐스테이트 서리풀",서초대로38길 12(서초동1498-5),22/7,2023,8975.52,48.78,48.78
블루힐65,반포대로30길 9(서초동1553-15),11/4,2023,358.8,1.95,1.95
KCC 금강본사,사평대로 344(서초동1301-4),14/4,2023,6752.8,36.7,36.7
316타워(공도빌딩),서초중앙로24길 10(서초동169-2),14/8,2023,3385.6,18.4,18.4
스타시티영존,능동로 110,12/5,2023,6973.0,37.9,37.9
(주)메인개발(르미에르빌딩),청진동 166 ,20/7,2023,936.56,5.09,0.09
서울대병원(외래암센터),"대학로 101(연건동 ,서울대학교병원 ) ",10/1,2023,684.48,3.72,3.72
The-K Twin Towers,종로1길 50(중학동) ,19/6,2023,3843.76,20.89,5.89
(주)마스턴제이호위탁관리부동산㈜,새문안로5길 31(도렴동),20/7,2023,708.4,3.85,3.85
(주)동승에이치엠씨,종로로 266(종로6가) ,3/?,2023,15789.04,85.81,33.81
(주)청하고려인삼,"자하문로 280(부암동, 금박B/D) ",6/2,2023,12834.0,69.75,69.75
운현궁 SK허브 운영위원회,삼일대로 461(경운동) ,14/8,2023,13943.52,75.78,75.78
(주)단성사,돈화문로 26(묘동) ,10/4,2023,5987.36,32.54,32.54
학고재,삼청로 48-4(소격동),2/2,2023,2883.28,15.67,15.67
SK자하문주유소(세차장),"자하문로 246(SK자하문주유소,부암동155-3) ",3/1,2023,375.36,2.04,2.04
경희대 사회교육연구원(조인원),율곡로 110(권농동),5/3,2023,106.72,0.58,0.58
골든팰리스,"통일로16길 4-1(무악동, 골든팰리스) ",8/4,2023,1332.16,7.24,7.24
옥산빌딩(한00),대명1길 7(명륜4가 16-1),4/2,2023,4513.52,24.53,24.53
SK 이노베이션(주),"종로 26(서린동, SK 이노베이션(주) 총무팀) ",35/7,2023,27386.56,148.84,148.84
종로타워,종로 51(종로2가) ,24/6,2023,25605.44,139.16,90.16
흥국생명보험㈜,새문안로 68(신문로1가) ,19/3,2023,9588.24,52.11,44.11
정부중앙청사별관,사직로8길 60(도렴동) ,16/6,2023,3453.68,18.77,1.77
오피시아관리사무소,새문안로 92(신문로1가) ,24/8,2023,1170.24,6.36,6.36
국립현대미술관,"삼청로 30(소격동,서울관 ) ",3/3,2023,995.44,5.41,5.41
금융감독원,효자로 11(통의동) ,4/2,2023,33.12,0.18,0.18
(주)SERVEONE) (주)서브원,필운대로 80(옥인동) ,5/3,2023,5245.84,28.51,17.51
종로청계힐스테이트,숭인동길 21(숭인동),18/?,2023,14983.12,81.43,59.43
소나무㈜,동호로38길 24(종로5가),5/2,2023,443.44,2.41,2.41
서울대병원(외래암센터),"대학로 101(연건동 ,서울대학교병원 ) ",6/4,2023,465.52,2.53,2.53
(주)한국투자사모종로플레이스,창경궁로 120(인의동),14/7,2023,8699.52,47.28,11.28
지에스건설,종로 33(청진동) ,24/7,2023,29817.2,162.05,105.05
대림산업(주)광화문D타워,청진동 249 ,23/8,2023,3516.24,19.11,19.11
서울대학교병원 의학연구혁신센터,대학로 71(연건동),4/5,2023,13656.48,74.22,69.22
포시즌스호텔,새문안로 97(당주동) ,18/7,2023,4261.44,23.16,17.16
서울대학교 의과대학장,대학로 103(연건동) ,6/2,2023,51996.56,282.59,188.59
강북삼성병원,새문안로 29,15/3,2023,3186.88,17.32,17.32
트윈 트리,율곡로 6,17/8,2023,5420.64,29.46,29.46
시그나타워,삼봉로 48,23/6,2023,2086.56,11.34,11.34
센트로폴리스,우정국로 26,26/8,2023,41344.8,224.7,224.7
케이지타워,통일로 92,21/5,2023,7477.76,40.64,0.04
태평로빌딩,세종대로 73,26/6,2023,3996.48,21.72,0.02
동국제강(페럼타워),을지로5길 19,28/6,2023,6362.72,34.58,34.58
파인애비뉴,을지로 100,25/6,2023,4014.88,21.82,20.82
한화금융센터,세종대로 92,25/6,2023,10070.32,54.73,24.73
청계천 위브더제니스,다산로46길 17,38/6,2023,1087.44,5.91,0.01
리마크빌,다산로 258,22/5,2023,17711.84,96.26,18.26
롯데캐슬아이리스,소공로 35,32/7,2023,1840.0,10.0,0.0
두산타워,장충단로 275,33/7,2023,853.76,4.64,0.04
황학아크로타워,퇴계로 447,20/6,2023,552.0,3.0,3.0
㈜굿모닝시티,장충단로 247,16/7,2023,3564.08,19.37,19.37
㈜명동밀레오레관리단,퇴계로 115,17/7,2023,964.16,5.24,5.24
명동타워,명동8길 27,22/2,2023,1188.64,6.46,6.46
매경미디어센터,퇴계로 190,20/5,2023,2542.88,13.82,13.82
한남아이파크,독서당로46(한남동93),/,2023,13499.88,74.59,74.59
신당파인힐유보라아파트,왕십리로 407,20/4,2023,3036.0,16.5,16.5
동대문밀레오레,장충단로 263,20/7,2023,4151.04,22.56,22.56
동대문패션TV,을지로 264,13/6,2023,914.48,4.97,4.97
래미안원베일리(반포),반포대로 333(반포동 1-1),35/3,2023,107544.32,584.48,584.48
원베일리스퀘어(상가),반포대로 291(반포동 1-10),5/3,2023,10916.72,59.33,59.33
방배그리나힐,방배천로4안길 32,5/2,2023,309.12,1.68,1.68
래미안서초유니빌,서초중앙로 26(서초동 1445-4),24/3,2023,4036.96,21.94,21.94
코리아비즈니스센터,강남대로 309(서초동 1338-21),20/6,2023,8903.76,48.39,48.39
LG서초에클라트,반포대로14길 71(서초동 1599-2),22/6,2023,638.48,3.47,3.47
서초아르누보씨티,서초대로357(서초동 1680-1),19/8,2023,4600.0,25.0,25.0
신세계센트럴시티,신반포로176(반포동 19-3),32/5,2023,967.84,5.26,5.26
청권사(사),효령로 135(방배동 190-1),3/1,2023,1884.16,10.24,10.24
신반포 르엘,잠원동14길 42(잠원동 52-2),35/3,2023,53315.84,289.76,289.76
멀버리힐스 타워,강남대로 589(잠원동 27-2),14/8,2023,20010.0,108.75,108.75
광림교회,"압구정로22길 21(신사동 570-8 ,광림교회 )",5/4,2023,189.0,1.03,1.03
KIDC빌딩,언주로 616(논현동 261-1),10/3,2023,486.0,2.64,2.64
㈜LG패션,압구정로 230(신사동 617-3),5/4,2023,577.0,3.14,3.14
리베라호텔,영동대로 737(청담동 53-7),15/5,2023,6955.0,37.8,37.8
대윤빌딩,"영동대로96길 34(삼성동 170 ,대윤빌딩 )",7/4,2023,8.0,0.04,0.04
한국무역협회,영동대로 513(삼성동 159),54/6,2023,23879.0,129.78,129.78
정헌빌딩,"테헤란로 516(대치동 944-1 ,정헌빌딩 )",10/3,2023,73.0,0.4,0.4
KB손해보험 강남사옥,테헤란로 117(역삼동 649-11),19/7,2023,1440.0,7.83,7.83
(주)서브원GS타워,논현로 508(역삼동 679),38/6,2023,2592.0,14.09,14.09
