건축물명,건축물 위치,층수(지상_지하),조사년도,총발생량(톤),일평균발생량(톤/일),미사용_하수도방류(톤/일)
NH송파농협,송파대로 155(문정동 651-8),14/5,2024,5544.0,30.46,30.46
넥스파,백제고분로 266,8/4,2024,8.0,0.04,0.04
잠실 벨솔레 오피스텔,올림픽로34길 5-13(방이동 41-8),19/4,2024,4548.0,24.99,24.99
파크웨이,올림픽로34길 5-23,18/3,2024,28.0,0.15,0.15
서울한방병원,법원로11길 32(문정동 640-11),13/3,2024,399.0,2.19,2.19
수성위너스,정의로8길 13,14/5,2024,385.0,2.12,2.12
위너스오피스텔,백제고분로 63,10/4,2024,1571.0,8.63,8.63
한국광고문화회관,올림픽로35길 137,20/5,2024,9302.0,51.11,51.11
링커병원,백제고분로 436,7/4,2024,9598.0,52.74,52.74
대우유토피아오피스텔,올림픽로 336,21/5,2024,2824.0,15.52,15.52
거여2차쌍용아파트,오금로 512,15/3,2024,7767.0,42.68,42.68
아이티벤쳐타워,중대로 135,18/6,2024,27016.0,148.44,148.44
송파책박물관,송파대로 345(송파책박물관),2/1,2024,9570.0,52.58,52.58
헬리오시티상가,송파대로 345(헬리오시티 상가),5/3,2024,47231.0,259.51,259.51
파라다이스빌잠실,올림픽로 366(방이동 40),15/4,2024,1154.0,6.34,6.34
서울아산병원,올림픽로43길 88(풍납동 388-1),18/4,2024,118725.0,652.34,250.02
여의도순복음교회,마천로 17(방이동 209-1),10/4,2024,7774.0,42.71,42.71
한미타워,"위례성대로 14(방이동 45 ,한미타워 )",20/5,2024,1197.0,6.58,6.58
BK타워,법원로11길 28 (문정동 640-10),13/5,2024,1210.0,6.65,6.65
힐스테이트 에코 송파,정의로7길 13 (문정동 639-5),18/4,2024,2305.0,12.66,12.66
문정오벨리스크,송파대로 145 (문정동 652-2),16/7,2024,742.0,4.08,4.08
힐스테이트 에코 문정,법원로4길 10(문정동 652-4),15/6,2024,193.0,1.06,1.06
씨제이나인파크 B동,"석촌동 24-14, 씨제이나인파크 B동",22/5,2024,139.0,0.76,0.76
씨제이나인파크 A동,"석촌동 24-11, 씨제이나인파크 A동",22/5,2024,0.0,0.0,0.0
잠실헤리츠상가 ,방이동 47 잠실헤리츠상가 ,16/4,2024,1432.0,7.87,7.87
서진빌딩,삼학사로 42(석촌동 213-4) ,6/2,2024,385.0,2.12,2.12
문정 SKV1GL,법원로 128(문정동 642-3),17/5,2024,24564.0,134.97,134.97
송파레미니스아파트,성내천로 6(오금동 616),20/2,2024,130.0,0.71,0.71
송파아이파크,법원로 55(문정동 624),16/4,2024,702.0,3.86,3.86
위례2차아이파크 아파트 ,위례광장로 230(장지동 884) ,29/3,2024,1118.0,6.14,6.14
위례중앙푸르지오2단지 아파트,위례광장로 290(장지동 896 ) ,19/3,2024,14.0,0.08,0.08
잠실대명벨리온오피스텔,오금로11길 37(방이동 43) ,17/5,2024,3758.0,20.65,20.65
호반베르디움,"동남로 342, (지하)",20/2,2024,2866.0,15.75,15.75
힐스테이트송파위례아파트,"장지동 883 ,힐스테이트, 위례광장로 170",29/3,2024,4505.0,24.75,24.75
에이치비지니스파크,법원로11길 25(문정동 645),15/4,2024,55.0,0.3,0.3
타워730,"올림픽로35길 141(신천동 7-30), 송파대로 570",27/4,2024,12224.0,67.16,55.14
SONGPA FUN STADIUM,올림픽로35가길 16(신천동 7-12),10/5,2024,3972.0,21.82,21.82
삼성SDS,올림픽로35길 125(신천동 7-13),30/7,2024,160.0,0.88,0.88
"롯데물산㈜, 잠실제2롯데월드",올림픽로 300(신천동 29),"123(1,10,12,12)/6(5,6,6,6)",2024,44579.0,244.94,-74.68
기업은행,노해로 489,10/3,2024,1821.5,10.01,10.01
서울복합물류프로젝트금융투자(주),장지동 674,11/5,2024,97569.0,536.09,486.09
노빌리안골드,노해로 452,14/4,2024,1887.0,10.37,10.37
금호프라자,상계로 5길 32,7/4,2024,699.8,3.85,3.85
큐비스트 빌딩,상계로 84,8/3,2024,131.0,0.72,0.72
와우패션클럽,노해로 507,8/7,2024,936.9,5.15,5.15
공릉8단지 청솔아파트,노원로 1가길 10,15/3,2024,2745.9,15.09,15.09
대덕프라자,노원로 1길 67,5/3,2024,1092.0,6.0,6.0
우은빌딩,공릉동 441-92,6/4,2024,24.5,0.13,0.13
태영데시앙,독막로 320 (도화동),17/7,2024,1800.0,9.89,9.89
㈜한샘,성암로 179 (상암동),22/5,2024,20951.8,115.12,115.12
KBS미디어센타,매봉산로 45 (상암동),21/5,2024,902.7,4.96,4.96
목동센트럴프라자,"목동서로 349, (신정동)",15층/8층,2024,74731.0,410.61,385.61
세양청마루2차주상복합,"목동남로4길2, (신정동)",15층/4층,2024,21365.0,117.39,117.39
세양청마루아파트,"목동남로2길 60-30, (신정동)",15층/4층,2024,1500.0,8.24,8.24
KTICC 목동센타,"목동동로 233-5, (목동)",12층/4층,2024,21721.7,119.35,119.35
이스타빌3,"목동서로 377, (신정동)",18층/4층,2024,26243.9,144.2,144.2
벽산미라지타워,"목동동로 385, (목동)",26층/6층,2024,2305.9,12.67,12.67
승일타워2차,"신월로 164, (신월동)",10층/3층,2024,23074.0,126.78,126.78
목동우림필유,"목동서로 295, (신정동)",15층/5층,2024,5252.5,28.86,28.86
목동제이월드빌,"목동서로 291, (신정동)",15층/4층,2024,11537.0,63.39,63.39
동문비젼오피스텔,"목동서로 287, (신정동)",15층/5층,2024,25638.3,140.87,140.87
향도드림네스트,"목동동로 437, (목동)",15층/3층,2024,5126.9,28.17,28.17
남부빌딩관리단,"신월로 389, (신정동)",9층/6층,2024,20593.3,113.15,101.15
삼성쉐르빌2,"목동동로 177, (신정동)",24층/5층,2024,4251.5,23.36,23.36
행복한세상,"목동동로 309, (목동)",17층/5층,2024,1780.0,9.78,9.78
목동트윈빌,"목동동로 339, (목동)",31층/5층,2024,3845.7,21.13,21.13
목동트라팰리스,"오목로 299, (목동)",49층/5층,2024,3575.0,19.64,19.64
