"건축물명","건축물 위치","층수(지상_지하)","연면적","조사년도","총발생량(톤)","일평균발생량(톤/일)","일평균이용현황(톤/일)_하천방류","일평균이용현황(톤/일)_도로청소","일평균이용현황(톤/일)_공원용수","일평균이용현황(톤/일)_화장실세척","일평균이용현황(톤/일)_건물용수","미사용_하수도방류(톤/일)","일평균이용현황(톤/일)_기타건물용수"
"㈜중흥토건","진관동 76-40","1/4","18630","2024","36946.00","203.00","203.00","","","","0.00","0.00","창릉천"
"㈜호반건설","대조동 2-9","28/6","87070","2024","38511.20","211.60","","","","","0.00","211.60",""
"힐데스하임","진관3로 11(진관동 64)","16/3","17618","2024","2406.00","13.22","","","","","0.00","13.22",""
"은평성모병원","통일로 1021","17/7","179353","2024","10610.60","58.30","","","","","0.00","58.30",""
"SW메디컬빌딩","진관동 69","11/2","2397","2024","902.70","4.96","","","","","0.00","4.96",""
"은평뉴타운엘크루아파트","진관3로 21(진관동 65)","20/4","38185","2024","458.60","2.52","","","","","0.00","2.52",""
"은평솔하임관리사무소","진관동 59-18","20/5","44836","2024","2271.40","12.48","","","","","0.00","12.48",""
"펌스개발쇼핑몰(NC백화점)","불광로 20(대조동 240)","16/8","97074","2024","218.40","1.20","","","","","0.00","1.20",""
"현대아산㈜(광운대역 역세권 청년주택 공사현장)","월계동 410-3","/","","2024","323.00","1.77","","","","","0.00","1.77",""
"㈜우방(수락산역 역세권 청년주택 공사현장)","상계동 1049-71","/","","2024","1036.00","5.69","","","","","0.00","5.69",""
"서울어울림체육센터 공사현장","상계동 1268","/","","2024","1003.00","5.51","","","","","0.00","5.51",""
"효성중공업㈜(노원역 역세권 청년주택 공사현장)","상계동 690","/","","2024","11670.00","64.12","","","","","0.00","64.12",""
"한화포레나노원 2단지","노원로38길 10","2/30","153920.172","2024","839.00","4.61","","","","","0.00","4.61",""
"한화포레나노원 1단지","노원로38길 76","2/30","153920.172","2024","4340.00","23.85","","","","","0.00","23.85",""
"상계구민체육센터","상계6동 95-182","6/3","4177.74","2024","0.00","0.00","","","","","0.00","0.00",""
"노원역 보미더클래스 오피스텔","상계6.7동 706-2","20/4","11380","2024","23984.00","131.78","","","","","0.00","131.78",""
"코원건설","동일로174길 42","15/2","2733.53","2024","3409.50","18.73","","","","","0.00","18.73",""
"중앙하이츠아쿠아아파트","공릉로 430(중계2.3동 514)","10/2","35438.18","2024","91.70","0.50","","","","","0.00","0.50",""
"월계센트럴아이파크 아파트","초안산로2라길 26(월계2동 645-3)","17~30/2","134402.75","2024","18200.00","100.00","","","","","0.00","100.00",""
"국민은행 노원종합금융센터","동일로1405(상계6,7동 731-5)","15/6","19279.51","2024","29447.00","161.80","","","","","0.00","161.80",""
"태경빌딩","한글비석로271 (중계1동 359-20)","8/2","3213.6","2024","249.00","1.37","","","","","0.00","1.37",""
"공릉 신도1차아파트","동일로191가길 59(공릉1동 748)","19/2","12892.14","2024","1223.00","6.72","","","","","0.00","6.72",""
"공릉 삼익2차아파트","공릉로 34길 118(공릉2동 754)","7~18/2","15653.71","2024","4862.50","26.72","","","","","0.00","26.72",""
"공릉 한보아파트","공릉로 46길 19(공릉2동 743)","12~20/2","13572.89","2024","10876.30","59.76","","","","","0.00","59.76",""
"예수사랑교회","노원로6(공릉2동 112-4)","4/2","1848.02","2024","1887.00","10.37","","","","","0.00","10.37",""
"염광아름빌 아파트","덕릉로79길 23 (중계4동 445)","15~26/2","25940.38","2024","314.50","1.73","","","","","0.00","1.73",""
"노블씨티","한글비석로 276(중계본동 366-11)","9/4","6758.25","2024","366.90","2.02","","","","","0.00","2.02",""
"동천재활체육센터","노원로 18길 41","0/3","9480.82","2024","1397.80","7.68","","","","","0.00","7.68",""
"삼부프라자","한글비석로 242","8/4","17.501","2024","163.80","0.90","","","","","0.00","0.90",""
"대신빌딩","노원로 236","8/3","7044.61","2024","3341.50","18.36","","","","","0.00","18.36",""
"양지대림2차 아파트","덕릉로 73길 28","25/3","92226.18","2024","182.00","1.00","","","","","0.00","1.00",""
"건영백화점","섬밭로 258","8/4","59800.69","2024","821.20","4.51","","","","","0.00","4.51",""
"상현교회","한글비석로 290","7/3","8107.55","2024","855.40","4.70","","","","","0.00","4.70",""
"중계두타빌","중계동 360-9","7/4","20920","2024","1271.10","6.98","","","","","0.00","6.98",""
"현대아파트","석계로 49","27/3","174649.34","2024","2009.30","11.04","","","","","0.00","11.04",""
"월계 2차 한일아파트","석계로 13길 6-10","19/3","24553.714","2024","349.40","1.92","","","","","0.00","1.92",""
"잠실역웰리지더테라스오피스텔","올림픽로34길 5-14(방이동 42)","20/4","20774.56","2024","905.00","4.97","","","","","0.00","4.97",""
"위례휴먼빌씨티","위례송파로3길 12(거여동 605 ,휴먼빌 시티)","12/4","18592.778","2024","2232.00","12.26","","","","","0.00","12.26",""
"세계로메딕플렉스","위례서로 248(거여동 604 ,세계로병원)","13/4","14976.84","2024","28.00","0.15","","","","","0.00","0.15",""
"잠실올림픽공원아이파크","올림픽로43길 34(풍납동 514)","14~35/3","113285.07","2024","24450.00","134.34","","","","","0.00","134.34",""
"잠실올림픽공원아이파크상가","강동대로 74(풍납동 514-1 ,잠실 올림픽공원 아이파크 상가동 )","5/3","5783.62","2024","20.00","0.11","","","","","0.00","0.11",""
"위례포레18단지","거여동 648","15~22/2","101048.44","2024","4348.00","23.89","","","","","0.00","23.89",""
"잠실제니알","방이동 39번지","16/2","2741.48","2024","2133.00","11.72","","","","","0.00","11.72",""
"엘루이시티","올림픽로30길 9(방이동 28-2)","16/3","11465.81","2024","4689.00","25.76","","","","","0.00","25.76",""
"한솔병원 신관-본관 있음","백제고분로39길 14-20","7/4","2636","2024","346.00","1.90","","","","","0.00","1.90",""
"NH송파농협","송파대로 155(문정동 651-8)","14/5","46174.2","2024","5544.00","30.46","","","","","0.00","30.46",""
"넥스파","백제고분로 266","8/4","4129.67","2024","8.00","0.04","","","","","0.00","0.04",""
"잠실 벨솔레 오피스텔","올림픽로34길 5-13(방이동 41-8)","19/4","18027.1139","2024","4548.00","24.99","","","","","0.00","24.99",""
"파크웨이","올림픽로34길 5-23","18/3","9773.35","2024","28.00","0.15","","","","","0.00","0.15",""
"서울한방병원","법원로11길 32(문정동 640-11)","13/3","8207.68","2024","399.00","2.19","","","","","0.00","2.19",""
"수성위너스","정의로8길 13","14/5","10618.11","2024","385.00","2.12","","","","","0.00","2.12",""
"위너스오피스텔","백제고분로 63","10/4","5817.84","2024","1571.00","8.63","","","","","0.00","8.63",""
